scope,signal_date,execution_date,asset,side,quantity,reference_open,reference_price,execution_price,signal_close,open_gap,price,notional,cost,target_weight,selected_offense,selected_cluster,signal_reason
历史样本外回测,2022-12-30,2023-01-03,512890,BUY,1220000,0.819,0.819,open,0.818,0.0012224938875304,0.8194094999999999,999679.59,799.4938769999408,1.0,510500,中盘Beta,非周频观察日，沿用中盘Beta/510500；512890信号100%（维持第二级满仓）
历史样本外回测,2023-03-03,2023-03-06,512890,SELL,1220000,0.894,0.894,open,0.895,-0.0011173184357542,0.893553,1090134.66,872.3803979999698,0.0,512690,大消费,非周频观察日，沿用大消费/512690；512890信号0%（回撤基本修复；清仓等待趋势确认）
历史样本外回测,2023-03-03,2023-03-06,512690,BUY,1169600,0.931,0.931,open,0.931,0.0,0.9314655,1089442.0488,871.281414639879,1.0,512690,大消费,非周频观察日，沿用大消费/512690；512890信号0%（回撤基本修复；清仓等待趋势确认）
历史样本外回测,2023-03-06,2023-03-07,512690,SELL,1169600,0.928,0.928,open,0.931,-0.0032223415682062,0.927536,1084846.1056,868.1482316798935,0.0,512690,大消费,周频观察；簇第一名大消费得分0.772，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留512690；进攻腿相对512890动量+9.4%未达下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2023-03-13,2023-03-14,512690,BUY,1197400,0.905,0.905,open,0.904,0.0011061946902655,0.9054525,1084188.8235,867.0801470499603,1.0,512690,大消费,周频观察；簇第一名大消费得分0.795，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留512690；进攻腿相对512890动量+23.4%达到下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2023-04-03,2023-04-04,512690,SELL,1197400,0.917,0.917,open,0.918,-0.0010893246187363,0.9165415,1097466.7921000002,878.2479376299009,0.0,512100,小盘Beta,周频观察；簇第一名小盘Beta得分0.870，领先原簇大消费 0.240>缓冲0.100，切换资产簇；原ETF512690不在胜出簇，选512100；进攻腿相对512890动量+6.8%未达下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2023-04-17,2023-04-18,512890,BUY,1180100,0.929,0.929,open,0.929,0.0,0.9294645,1096861.05645,877.214766934975,1.0,515880,科技主题,周频观察；簇第一名科技主题得分0.790，领先原簇小盘Beta 0.125>缓冲0.100，切换资产簇；原ETF512100不在胜出簇，选515880；进攻腿相对512890动量+7.1%未达下限10.0%；512890信号100%（连续接近复权新高；启动一次趋势奖金仓）
历史样本外回测,2023-05-04,2023-05-05,512890,SELL,1180100,0.988,0.988,open,0.989,-0.0010111223458038,0.987506,1165355.8306,932.5761491799934,0.0,515880,科技主题,周频观察；簇第一名大盘Beta得分0.770，第一名仅领先当前簇0.025≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留515880；进攻腿相对512890动量+8.9%未达下限10.0%；512890信号0%（趋势奖金达到止盈并清仓）
历史样本外回测,2023-05-08,2023-05-09,515880,BUY,1135600,1.025,1.025,open,1.034,-0.0087040618955513,1.0255124999999998,1164571.995,931.3665984999044,1.0,515880,科技主题,周频观察；簇第一名科技主题得分0.765，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留515880；进攻腿相对512890动量+12.9%达到下限10.0%；512890信号0%（保持现金等待回撤）
历史样本外回测,2023-05-22,2023-05-23,515880,SELL,567800,1.042,1.042,open,1.044,-0.0019157088122605,1.041479,591351.7762000001,473.2293328599965,0.5,515880,科技主题,周频观察；簇第一名科技主题得分0.790，第一名仅领先当前簇0.000≤缓冲0.100，保留当前簇；簇内第一名仅领先当前ETF 0.000≤缓冲0.100，保留515880；进攻腿相对512890动量+11.4%达到下限10.0%；512890信号50%（回撤达到第一级并半仓）
